Rank,Ticker,PE_Ratio,Momentum_3M_Pct,Run_Date
1,SNDK,7.98,160.49,2026-04-20
2,APA,8.97,54.25,2026-04-20
3,LYB,12.68,49.35,2026-04-20
4,CF,12.93,46.19,2026-04-20
5,DVA,15.7,33.24,2026-04-20
6,DVN,10.78,28.98,2026-04-20
7,EOG,14.16,27.41,2026-04-20
8,TGT,16.01,24.57,2026-04-20
9,MPC,16.18,24.49,2026-04-20
10,COP,18.34,24.49,2026-04-20
11,CTRA,14.03,23.03,2026-04-20
12,EIX,6.11,22.48,2026-04-20
13,BALL,19.4,20.82,2026-04-20
14,HST,19.18,19.98,2026-04-20
15,VZ,11.44,19.79,2026-04-20
16,OKE,15.4,19.7,2026-04-20
17,MO,15.68,19.23,2026-04-20
18,VTRS,5.57,18.82,2026-04-20
19,HPE,10.22,18.64,2026-04-20
20,STZ,16.63,16.26,2026-04-20
21,BF-B,17.01,16.05,2026-04-20
22,CHTR,6.76,14.66,2026-04-20
23,PSX,14.43,14.34,2026-04-20
24,SPG,14.65,13.41,2026-04-20
25,IFF,15.63,13.41,2026-04-20
26,T,8.61,13.06,2026-04-20
27,BK,16.75,12.66,2026-04-20
28,HAS,15.25,12.41,2026-04-20
29,NTRS,18.19,12.22,2026-04-20
30,ED,19.51,11.72,2026-04-20
31,PCG,14.7,11.6,2026-04-20
32,PPG,16.56,11.17,2026-04-20
33,STT,15.25,10.53,2026-04-20
34,D,17.93,10.52,2026-04-20
35,MRK,16.38,10.45,2026-04-20
36,EXC,17.0,10.31,2026-04-20
37,C,16.45,9.47,2026-04-20
38,DECK,15.78,9.18,2026-04-20
39,GL,10.73,8.91,2026-04-20
40,CMCSA,5.52,8.7,2026-04-20
41,CB,12.86,8.21,2026-04-20
42,PHM,11.46,8.11,2026-04-20
43,NEM,18.0,8.08,2026-04-20
44,DHI,13.62,7.84,2026-04-20
45,EQT,17.22,7.62,2026-04-20
46,BMY,17.39,7.18,2026-04-20
47,VICI,11.03,6.97,2026-04-20
48,PFG,18.32,6.77,2026-04-20
49,EG,9.28,6.71,2026-04-20
50,ES,15.02,6.65,2026-04-20
51,TRV,8.98,6.61,2026-04-20
52,CFG,15.58,6.42,2026-04-20
53,PEG,19.36,6.0,2026-04-20
54,L,13.94,5.66,2026-04-20
55,PNC,13.18,5.55,2026-04-20
56,MTB,12.33,5.14,2026-04-20
57,USB,11.95,4.83,2026-04-20
58,ALL,5.65,4.82,2026-04-20
59,AFL,16.79,4.48,2026-04-20
60,MAS,17.23,3.99,2026-04-20
61,CDW,16.94,3.93,2026-04-20
62,CLX,17.11,3.91,2026-04-20
63,HCA,16.87,3.84,2026-04-20
64,TXT,17.91,3.44,2026-04-20
65,KEY,13.61,3.36,2026-04-20
66,HIG,10.49,3.34,2026-04-20
67,FITB,17.16,3.3,2026-04-20
68,CINF,11.0,2.92,2026-04-20
69,MS,17.26,2.74,2026-04-20
70,AIG,14.47,2.69,2026-04-20
71,ACGL,8.4,2.55,2026-04-20
72,OMC,6.31,2.42,2026-04-20
73,UPS,16.33,2.39,2026-04-20
74,AES,11.05,1.32,2026-04-20
75,SJM,9.54,1.02,2026-04-20
76,TFC,13.31,0.99,2026-04-20
77,NTAP,17.92,0.72,2026-04-20
78,MET,16.57,0.47,2026-04-20
79,CI,12.62,0.38,2026-04-20
80,DAL,10.4,0.37,2026-04-20
